combo_key,combo_label,n_factors,ic_5d,ic_20d,ic_60d,tail_reversion_score,fear_n,greed_n,fear_excess_20d,greed_excess_20d,fear_win_rate,greed_win_rate,is_sharpe,oos_sharpe,sharpe_decay
momentum+strength+move+cand_copper_gold+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 銅金比報酬差 + SOFR-3M利差 + 1年通膨預期價差,6,-0.009220588515080128,0.03223716565701901,,5.8827586206896605,87,15,9.485415583665453,15.368174204355114,37.93103448275862,80.0,-0.4360000807421873,-0.3852899161241988,0.0
strength+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread,強度 (NQ 52W區間) + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差,4,0.003420056014610133,0.014409927183153773,,5.8124999999999964,96,184,1.8223408710217786,7.634840871021775,56.25,66.84782608695652,0.7784456014472172,-1.1100012611300327,-1.4259201401696104
strength+move+inflation+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差,6,-0.0015821046332385729,0.027321554043609336,,5.808333333333342,88,30,-1.2401591289782254,4.568174204355116,57.95454545454546,56.666666666666664,0.5816077662323522,-1.4692869609907477,-2.526250587245026
strength+duration+move+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,強度 (NQ 52W區間) + 存續期間避險 (TLT-SHY) + 波動度 (MOVE偏態) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,8,-0.026666140423207155,-0.0372727570551981,,5.741666666666665,42,40,15.46817420435511,21.209840871021775,28.57142857142857,90.0,-0.07973328931316262,-0.9545853892823672,0.0
momentum+duration+move+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 存續期間避險 (TLT-SHY) + 波動度 (MOVE偏態) + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,6,-0.053891569377837026,-0.11075462573895757,,5.740844282918651,147,73,10.798106177144223,16.538950460062875,35.374149659863946,78.08219178082192,-1.3189774200141957,-0.3446244131720845,0.0
move+inflation+cand_sofr_ted_spread,波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + SOFR-3M利差,3,-0.047260207339533504,-0.07166527519440895,,5.735562310030398,329,56,4.184992846705665,9.920555156736063,45.59270516717325,80.35714285714286,-0.8147958146010266,-1.481895551640288,0.0
strength+move+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,7,0.008140413471796362,0.009112065793836855,,5.726176808266359,67,52,6.485587139678493,12.211763947944853,55.223880597014926,75.0,0.4346035102005007,-1.2123697634852781,-2.7895995661101805
strength+curve+cand_copper_gold+cand_credit_spread+cand_swap_spread,強度 (NQ 52W區間) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread,5,-0.012209529985454468,0.014518074729183213,,5.702651515151519,99,144,-4.769199533018629,0.9334519821328908,62.62626262626263,54.861111111111114,0.9763680014578859,-0.8833814933403473,-0.9047628476366557
strength+curve+inflation+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,強度 (NQ 52W區間) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,7,-0.021599472725931188,0.004697387730792444,,5.69803921568629,51,15,7.5368016553355,13.23484087102179,43.13725490196079,100.0,0.16127548300680153,-1.1477570034878042,-7.1167482005891705
duration+cand_swap_spread+cand_sofr_ted_spread,存續期間避險 (TLT-SHY) + 10Y Swap Spread + SOFR-3M利差,3,-0.01873533138289804,-0.05157612575896834,,5.626433532547246,302,164,2.770602460425749,8.397035992972995,42.05298013245033,70.1219512195122,-0.6018431408501296,-0.17878396921910925,0.0
momentum+strength+inflation+cand_swap_spread+cand_sofr_ted_spread,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 通膨意外 (CPI-10YBE) + 10Y Swap Spread + SOFR-3M利差,5,-0.03327680630285093,-0.04162149651796305,,5.5897435897436125,78,3,15.711763947944856,21.30150753768847,24.358974358974358,100.0,-0.371092886385127,-0.6775055680506407,0.0
strength+duration+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,強度 (NQ 52W區間) + 存續期間避險 (TLT-SHY) + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,6,-0.04669119097833092,-0.08614119968670989,,5.555069930069923,65,88,11.250225486406393,16.805295416476316,32.30769230769231,92.04545454545455,-0.4089331549522166,-0.966490834971144,0.0
duration+inflation+cand_credit_spread+cand_swap_spread+cand_inflation_1y,存續期間避險 (TLT-SHY) + 通膨意外 (CPI-10YBE) + IG企業債利差 + 10Y Swap Spread + 1年通膨預期價差,5,-0.0544574939992433,-0.0820786572676185,,5.521567217828897,107,52,11.382504422423649,16.904071640252546,27.102803738317753,84.61538461538461,-0.9110114566251946,-1.4124696893577877,0.0
strength+move+curve+inflation+cand_copper_gold+cand_sofr_ted_spread,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + SOFR-3M利差,6,-0.037054680820698224,-0.01644031852131958,,5.484431834715559,158,87,3.6791446684901272,9.163576503205686,52.53164556962025,77.01149425287356,0.04466387831257371,-1.033966111426548,-23.149940186351156
momentum+strength+inflation+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,8,-0.012968136490403615,0.018685664515911374,,5.471306471306457,91,9,10.052423288604194,15.523729759910651,37.362637362637365,100.0,-0.035239058116632194,-0.9741125655789432,0.0
move+inflation+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread,波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差,5,-0.023178688943239188,-0.02877038668004779,,5.440476190476213,168,7,3.9086503948313003,9.349126585307513,45.23809523809524,42.857142857142854,-0.020858397174608894,-2.603294666801769,0.0
momentum+strength+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,7,0.0038553196226561635,0.016241523119862232,,5.336306653809062,61,68,11.225004805448004,16.561311459257066,32.78688524590164,92.64705882352942,0.27582891759192657,-0.6694142596065146,-2.4269183429015064
