date,score,label,ust10yr,momentum_score,momentum_raw,strength_score,strength_raw,putcall_score,putcall_raw,move_score,move_raw
2020-01-01,49.82573251321261,中性,1.92,26.136986301369863,-0.8824704154856274,60.10733452593918,128.421875,,,63.23287671232877,58.279998779296875
2020-01-02,52.628323571936185,中性,1.88,30.63013698630137,-0.7108485700528829,62.432915921288014,128.625,,,64.82191780821918,57.20000076293945
2020-01-03,58.47258231839309,貪婪,1.8,44.32876712328767,-0.1096248917984916,71.19856887298748,129.390625,,,59.89041095890411,60.119998931884766
2020-01-04,58.54564167912368,貪婪,1.8,44.602739726027394,-0.0994059769049971,71.19856887298748,129.390625,,,59.83561643835616,60.119998931884766
2020-01-05,58.72829008095016,貪婪,1.8,45.20547945205479,-0.0891849709811001,71.19856887298748,129.390625,,,59.78082191780822,60.119998931884766
2020-01-06,55.70759918641409,中性,1.81,42.95890410958904,-0.1841862404769441,69.58855098389982,129.25,,,54.57534246575342,62.790000915527344
2020-01-07,55.13063935109172,中性,1.83,41.863013698630134,-0.2414673024694136,68.51520572450805,129.15625,,,55.013698630136986,62.630001068115234
2020-01-08,52.416137754143485,中性,1.87,34.52054794520548,-0.531560499406169,64.04293381037567,128.765625,,,58.68493150684932,60.4900016784668
2020-01-09,55.21924474219245,中性,1.85,36.986301369863014,-0.4236551580281004,64.78102189781022,128.890625,,,63.89041095890411,57.65999984741211
2020-01-10,60.60670599606706,貪婪,1.83,40.49315068493151,-0.2685902921172901,66.97080291970804,129.078125,,,74.35616438356165,53.31999969482422
2020-01-11,60.7710895577109,貪婪,1.83,41.04109589041096,-0.2583792137544629,66.97080291970804,129.078125,,,74.3013698630137,53.31999969482422
2020-01-12,60.56155768070991,貪婪,1.83,41.58904109589041,-0.2511531309618594,65.84905660377358,129.078125,,,74.24657534246575,53.31999969482422
2020-01-13,58.7622246715303,貪婪,1.85,38.465753424657535,-0.3679539096431136,63.40996168582376,128.921875,,,74.41095890410959,53.27000045776367
2020-01-14,62.19503490264,貪婪,1.82,43.23287671232877,-0.1976485044499941,66.0919540229885,129.140625,,,77.26027397260273,52.349998474121094
2020-01-15,65.65597615123431,貪婪,1.79,46.24657534246575,-0.0434698608964495,67.65285996055226,129.34375,,,83.06849315068493,50.540000915527344
2020-01-16,64.11816306863726,貪婪,1.81,43.397260273972606,-0.1950217769487935,65.28599605522683,129.15625,,,83.67123287671232,50.369998931884766
